Country,city,location,parameter_name,parameter_description,measurement_datetime,measurement_value,unit,Source Of Data Flow,Link to raw data (only E1a/validated data from AQ e-Reporting)
Bosnia and Herzegovina,TESANJ,,O3,Ozone (air),04-12-22,5,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2021&Year_to=2021&Station=STA-BA0056A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,TESANJ,,NO2,Nitrogen dioxide (air),09-03-10,10.128,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=8&Year_from=2021&Year_to=2021&Station=STA-BA0058A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,BIHAC,,O3,Ozone (air),30-10-17,106.47,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,TESANJ,,O3,Ozone (air),24-12-10,132.468,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2021&Year_to=2021&Station=STA-BA0056A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,TESANJ,,CO,Carbon monoxide (air),06-05-13,655.29,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,BIHAC,,O3,Ozone (air),23-01-20,0,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,TESANJ,,O3,Ozone (air),06-04-12,56.072,ug/m3,Mixed E1a/validated and E2a/UTD data AQ e-Reporting,
Bosnia and Herzegovina,TESANJ,,CO,Carbon monoxide (air),11-09-14,2971.582,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,BIHAC,,O3,Ozone (air),07-09-18,0,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,TESANJ,,NO2,Nitrogen dioxide (air),07-05-23,18.692,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,TESANJ,,PM2.5,Particulate matter < 2.5 µm (aerosol),17-06-13,6.157,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,BIHAC,,NO2,Nitrogen dioxide (air),14-07-18,13.787,ug/m3,Mixed E1a/validated and E2a/UTD data AQ e-Reporting,
Bosnia and Herzegovina,TESANJ,,PM2.5,Particulate matter < 2.5 µm (aerosol),17-11-23,109.091,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,BIHAC,,PM2.5,Particulate matter < 2.5 µm (aerosol),24-06-10,,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,TESANJ,,SO2,Sulphur dioxide (air),06-12-15,66.645,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=1&Year_from=2021&Year_to=2021&Station=STA-BA0052A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,KAKANJ , DOBOJ,PM2.5,Particulate matter < 2.5 µm (aerosol),07-09-12,18.068,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,BIHAC,,SO2,Sulphur dioxide (air),27-09-10,20,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,KAKANJ , DOBOJ,SO2,Sulphur dioxide (air),01-01-14,580.389,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=1&Year_from=2020&Year_to=2020&Station=STA-BA0052A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,KAKANJ , DOBOJ,PM2.5,Particulate matter < 2.5 µm (aerosol),26-12-16,110.846,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=6001&Year_from=2021&Year_to=2021&Station=STA-BA0058A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,BIHAC,,SO2,Sulphur dioxide (air),23-02-14,240.246,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=1&Year_from=2021&Year_to=2021&Station=STA-BA0052A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,KAKANJ , DOBOJ,SO2,Sulphur dioxide (air),17-09-18,0,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,TRAVNIK,,SO2,Sulphur dioxide (air),05-06-17,,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=1&Year_from=2018&Year_to=2018&Station=STA-BA0052A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,KAKANJ , DOBOJ,SO2,Sulphur dioxide (air),16-04-12,,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=1&Year_from=2018&Year_to=2018&Station=STA-BA0052A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,KAKANJ , DOBOJ,SO2,Sulphur dioxide (air),09-12-15,0,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,TRAVNIK,,SO2,Sulphur dioxide (air),18-04-19,0,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=1&Year_from=2018&Year_to=2018&Station=STA-BA0052A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,KAKANJ , DOBOJ,SO2,Sulphur dioxide (air),19-09-23,84.161,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=1&Year_from=2021&Year_to=2021&Station=STA-BA0052A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,KAKANJ , DOBOJ,SO2,Sulphur dioxide (air),25-04-18,3.415,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,TRAVNIK,,SO2,Sulphur dioxide (air),30-11-20,81.919,ug/m3,Mixed E1a/validated and E2a/UTD data AQ e-Reporting,
Bosnia and Herzegovina,KAKANJ , DOBOJ,PM10,Particulate matter < 10 µm (aerosol),10-10-14,0.327,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,TRAVNIK,,PM10,Particulate matter < 10 µm (aerosol),12-03-14,17.569,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=5&Year_from=2018&Year_to=2018&Station=STA-BA0052A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
